Step: 0, Train_loss:49.4572
 2017-06-08 15:00:04.644997 ---> Validation_loss: 62.5782
 Step: 10, Train_loss:2.23172
 ****************** Epochs completed: 1******************
 Step: 20, Train_loss:0.508678
 Step: 30, Train_loss:0.53363
 ****************** Epochs completed: 2******************
 Step: 40, Train_loss:0.368477
 Step: 50, Train_loss:0.167747
 ****************** Epochs completed: 3******************
 Step: 60, Train_loss:0.152217
 Step: 70, Train_loss:0.515592
 ****************** Epochs completed: 4******************
 Step: 80, Train_loss:0.148014
 ****************** Epochs completed: 5******************
 Step: 90, Train_loss:0.179908
 Step: 100, Train_loss:0.172905
 ****************** Epochs completed: 6******************
 Step: 110, Train_loss:0.0766131
 Step: 120, Train_loss:0.133859
 ****************** Epochs completed: 7******************
 Step: 130, Train_loss:0.106717
 Step: 140, Train_loss:0.137991
 ****************** Epochs completed: 8******************
 Step: 150, Train_loss:0.114145
 Step: 160, Train_loss:0.378212
 ****************** Epochs completed: 9******************
 Step: 170, Train_loss:0.120225
 ****************** Epochs completed: 10******************
 Step: 180, Train_loss:0.11521
 Step: 190, Train_loss:0.0784144
 ****************** Epochs completed: 11******************
 Step: 200, Train_loss:0.0915662
 Step: 210, Train_loss:0.119835
 ****************** Epochs completed: 12******************
 Step: 220, Train_loss:0.103059
 Step: 230, Train_loss:0.141876
 ****************** Epochs completed: 13******************
 Step: 240, Train_loss:0.121142
 Step: 250, Train_loss:0.267791
 ****************** Epochs completed: 14******************
 Step: 260, Train_loss:0.184694
 ****************** Epochs completed: 15******************
 Step: 270, Train_loss:0.0581072
 Step: 280, Train_loss:0.0725586
 ****************** Epochs completed: 16******************
 Step: 290, Train_loss:0.102835
 Step: 300, Train_loss:0.120562
 ****************** Epochs completed: 17******************
 Step: 310, Train_loss:0.0564522
 Step: 320, Train_loss:0.100391
 ****************** Epochs completed: 18******************
 Step: 330, Train_loss:0.104476
 Step: 340, Train_loss:0.0796987
 ****************** Epochs completed: 19******************
 Step: 350, Train_loss:0.0937831
 ****************** Epochs completed: 20******************
 Step: 360, Train_loss:0.11719
 Step: 370, Train_loss:0.0473606
 ****************** Epochs completed: 21******************
 Step: 380, Train_loss:0.0621826
 Step: 390, Train_loss:0.0848442
 ****************** Epochs completed: 22******************
 Step: 400, Train_loss:0.068764
 Step: 410, Train_loss:0.10008
 ****************** Epochs completed: 23******************
 Step: 420, Train_loss:0.0432691
 Step: 430, Train_loss:0.051711
 ****************** Epochs completed: 24******************
 Step: 440, Train_loss:0.0770367
 ****************** Epochs completed: 25******************
 Step: 450, Train_loss:0.0565091
 Step: 460, Train_loss:0.0873423
 ****************** Epochs completed: 26******************
Step: 470, Train_loss:0.0482727
 Step: 480, Train_loss:0.0382105
 ****************** Epochs completed: 27******************
 Step: 490, Train_loss:0.053388
 Step: 500, Train_loss:0.0230801
 2017-06-08 15:04:22.136884 ---> Validation_loss: 0.067371
 ****************** Epochs completed: 28******************
 Step: 510, Train_loss:0.0573499
 Step: 520, Train_loss:0.0522995
 ****************** Epochs completed: 29******************
 Step: 530, Train_loss:0.0660318
 ****************** Epochs completed: 30******************
 Step: 540, Train_loss:0.0341428
 Step: 550, Train_loss:0.0577623
 ****************** Epochs completed: 31******************
 Step: 560, Train_loss:0.0318062
 Step: 570, Train_loss:0.0668484
 ****************** Epochs completed: 32******************
 Step: 580, Train_loss:0.0461558
 Step: 590, Train_loss:0.0447584
 ****************** Epochs completed: 33******************
 Step: 600, Train_loss:0.0376172
 Step: 610, Train_loss:0.0458534
 ****************** Epochs completed: 34******************
 Step: 620, Train_loss:0.0369201
 ****************** Epochs completed: 35******************
 Step: 630, Train_loss:0.0484706
 Step: 640, Train_loss:0.045963
 ****************** Epochs completed: 36******************
 Step: 650, Train_loss:0.0239857
 Step: 660, Train_loss:0.0324677
 ****************** Epochs completed: 37******************
 Step: 670, Train_loss:0.0311336
 Step: 680, Train_loss:0.0425401
 ****************** Epochs completed: 38******************
 Step: 690, Train_loss:0.0301989
Step: 690, Train_loss:0.0301989
 Step: 700, Train_loss:0.0361624
 ****************** Epochs completed: 39******************
 Step: 710, Train_loss:0.034916
 ****************** Epochs completed: 40******************
 Step: 720, Train_loss:0.0360452
 Step: 730, Train_loss:0.029792
 ****************** Epochs completed: 41******************
 Step: 740, Train_loss:0.0377473
 Step: 750, Train_loss:0.0333932
 ****************** Epochs completed: 42******************
 Step: 760, Train_loss:0.0173324
 Step: 770, Train_loss:0.0347446
 ****************** Epochs completed: 43******************
 Step: 780, Train_loss:0.0296387
 Step: 790, Train_loss:0.019241
 ****************** Epochs completed: 44******************
 Step: 800, Train_loss:0.0310239
 ****************** Epochs completed: 45******************
 Step: 810, Train_loss:0.0278911
 Step: 820, Train_loss:0.0290313
 ****************** Epochs completed: 46******************
 Step: 830, Train_loss:0.0283099
 Step: 840, Train_loss:0.0257147
 ****************** Epochs completed: 47******************
 Step: 850, Train_loss:0.0204035
 Step: 860, Train_loss:0.0240026
 ****************** Epochs completed: 48******************
 Step: 870, Train_loss:0.0395233
 Step: 880, Train_loss:0.0187436
 ****************** Epochs completed: 49******************
 Step: 890, Train_loss:0.0274964
 ****************** Epochs completed: 50******************
 Step: 900, Train_loss:0.0370509
 Step: 910, Train_loss:0.0400271
 ****************** Epochs completed: 51******************
 Step: 920, Train_loss:0.0293714
Step: 920, Train_loss:0.0293714
 Step: 930, Train_loss:0.0227903
 ****************** Epochs completed: 52******************
 Step: 940, Train_loss:0.0332423
 Step: 950, Train_loss:0.0308002
 ****************** Epochs completed: 53******************
 Step: 960, Train_loss:0.0286813
 Step: 970, Train_loss:0.025792
 ****************** Epochs completed: 54******************
 Step: 980, Train_loss:0.0251084
 ****************** Epochs completed: 55******************
 Step: 990, Train_loss:0.0191179
 Step: 1000, Train_loss:0.0145066
 2017-06-08 15:08:39.030593 ---> Validation_loss: 0.0479397
 ****************** Epochs completed: 56******************
 Step: 1010, Train_loss:0.0395334
 Step: 1020, Train_loss:0.0212918
 ****************** Epochs completed: 57******************
 Step: 1030, Train_loss:0.0183096
 Step: 1040, Train_loss:0.0127258
 ****************** Epochs completed: 58******************
 Step: 1050, Train_loss:0.0139613
 Step: 1060, Train_loss:0.0138456
 ****************** Epochs completed: 59******************
 Step: 1070, Train_loss:0.0323589
 ****************** Epochs completed: 60******************
 Step: 1080, Train_loss:0.0258805
 Step: 1090, Train_loss:0.0136473
 ****************** Epochs completed: 61******************
 Step: 1100, Train_loss:0.0090056
 Step: 1110, Train_loss:0.0167346
 ****************** Epochs completed: 62******************
 Step: 1120, Train_loss:0.0115111
 Step: 1130, Train_loss:0.00926035
 ****************** Epochs completed: 63******************
 Step: 1140, Train_loss:0.0233238
 Step: 1150, Train_loss:0.0163136
****************** Epochs completed: 64******************
 Step: 1160, Train_loss:0.0080472
 ****************** Epochs completed: 65******************
 Step: 1170, Train_loss:0.0207141
 Step: 1180, Train_loss:0.0131147
 ****************** Epochs completed: 66******************
 Step: 1190, Train_loss:0.0170942
 Step: 1200, Train_loss:0.0239671
 ****************** Epochs completed: 67******************
 Step: 1210, Train_loss:0.0122907
 Step: 1220, Train_loss:0.0208179
 ****************** Epochs completed: 68******************
 Step: 1230, Train_loss:0.0150987
 Step: 1240, Train_loss:0.0298554
 ****************** Epochs completed: 69******************
 Step: 1250, Train_loss:0.0133924
 ****************** Epochs completed: 70******************
 Step: 1260, Train_loss:0.0130937
 Step: 1270, Train_loss:0.0103954
 ****************** Epochs completed: 71******************
 Step: 1280, Train_loss:0.0107497
 Step: 1290, Train_loss:0.0159055
 ****************** Epochs completed: 72******************
 Step: 1300, Train_loss:0.0163798
 Step: 1310, Train_loss:0.0120179
 ****************** Epochs completed: 73******************
 Step: 1320, Train_loss:0.0123514
 Step: 1330, Train_loss:0.01174
 ****************** Epochs completed: 74******************
 Step: 1340, Train_loss:0.014647
 ****************** Epochs completed: 75******************
 Step: 1350, Train_loss:0.00841524
 Step: 1360, Train_loss:0.0129305
 ****************** Epochs completed: 76******************
 Step: 1370, Train_loss:0.0106686
 Step: 1380, Train_loss:0.00708227
 ****************** Epochs completed: 77******************
 Step: 1390, Train_loss:0.0127685
 Step: 1400, Train_loss:0.0137923
 ****************** Epochs completed: 78******************
 Step: 1410, Train_loss:0.0100767
 Step: 1420, Train_loss:0.00723906
 ****************** Epochs completed: 79******************
 Step: 1430, Train_loss:0.0134117
 ****************** Epochs completed: 80******************
 Step: 1440, Train_loss:0.00687162
 Step: 1450, Train_loss:0.0117947
 ****************** Epochs completed: 81******************
 Step: 1460, Train_loss:0.0169239
 Step: 1470, Train_loss:0.0143159
 ****************** Epochs completed: 82******************
 Step: 1480, Train_loss:0.0262206
 Step: 1490, Train_loss:0.0109793
****************** Epochs completed: 83******************
 Step: 1500, Train_loss:0.0142584
 2017-06-08 15:12:56.222888 ---> Validation_loss: 0.0498113
 Step: 1510, Train_loss:0.0122297
 ****************** Epochs completed: 84******************
 Step: 1520, Train_loss:0.0171851
 ****************** Epochs completed: 85******************
 Step: 1530, Train_loss:0.0177579
 Step: 1540, Train_loss:0.00877236
 ****************** Epochs completed: 86******************
 Step: 1550, Train_loss:0.00789129
 Step: 1560, Train_loss:0.017478
 ****************** Epochs completed: 87******************
 Step: 1570, Train_loss:0.00632643
 Step: 1580, Train_loss:0.00822485
 ****************** Epochs completed: 88******************
 Step: 1590, Train_loss:0.00829575
 Step: 1600, Train_loss:0.00835532
 ****************** Epochs completed: 89******************
 Step: 1610, Train_loss:0.00845421
 ****************** Epochs completed: 90******************
 Step: 1620, Train_loss:0.00707866
 Step: 1630, Train_loss:0.00924018
 ****************** Epochs completed: 91******************
 Step: 1640, Train_loss:0.0129265
 Step: 1650, Train_loss:0.00580027
 ****************** Epochs completed: 92******************
 Step: 1660, Train_loss:0.0149055
 Step: 1670, Train_loss:0.00639786
 ****************** Epochs completed: 93******************
 Step: 1680, Train_loss:0.00729591
 Step: 1690, Train_loss:0.00491835
 ****************** Epochs completed: 94******************
 Step: 1700, Train_loss:0.0161088
 ****************** Epochs completed: 95******************
 Step: 1710, Train_loss:0.0113735
 Step: 1720, Train_loss:0.00833067
 ****************** Epochs completed: 96******************
 Step: 1730, Train_loss:0.00605201
 Step: 1740, Train_loss:0.00732761
 ****************** Epochs completed: 97******************
